ID,FECHA,GERENCIA CAM,SUB GERENCIA CAM,AREA DE CAM,EMPRESA CONTRATISTA,Nº ENC,Q NC,N IPAL,CIERRE
"248","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"249","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"257","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"263","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"264","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"221","05-2014","Gerencia Operaciones","Telemedida y Automatizacion","Eléctrica","CODEL","1","0","0","N/A"
"226","05-2014","Servicios de Negocios","Servicios de Negocios","Logística"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"266","05-2014","Servicios de Negocios","Servicios de Negocios","Logística","SOSIAS","1","1","20","ABIERTA"
"208","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","0","0","N/A"
"209","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","0","0","N/A"
"203","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","3","40","ABIERTA"
"204","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"205","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"227","05-2014","Servicios de Negocios","Servicios de Negocios","Logística","INGELDUP","1","0","0","N/A"
"278","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","2","40","ABIERTA"
"279","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","3","40","ABIERTA"
"337","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
